,text,label
60,could you tell me what kind of school harvard university is ?,bar
61,what category of school does harvard university fall under ?,bar
62,if we classify the school which can be the class of harvard university ?,bar
63,could you tell me the kind of school harvard university is ?,bar
64,what category of school does harvard fit into ?,bar
65,what category does harvard university fall into ?,bar
66,which university is in new york ?,bar
67,can you show me what university is located in new york,bar
68,tell me the name of the university that is located in new york .,bar
69,what university is located in new york ?,bar
70,what is the name of the university that is located in new york ?,bar
71,what is the name of a university that is located in new york ?,bar
72,what is the name of the university which is in new york ?,bar
73,please find the name of the university located in new york .,bar
74,what is the name of the university in new york ?,bar
75,give me the name of the university that 's in new york .,bar
76,what is the name of the college in new york ?,bar
77,can you tell which university is in new york ?,bar
78,can you tell me which university is in new york,bar
79,of the universities in america which ones are in new york ?,bar
80,which university has more than 30 faculties and more than 50 teachers ?,bar
81,tell me which university has greater than 30 faculty members and more than 50 teachers .,bar
82,could you tell me the name of the university that holds over 30 faculties and 50 teachers ?,bar
83,can you tell me the university that has greater than 30 faculties and greater than 50 teachers,bar
84,what is the name of the university that has over 50 teachers and more than 30 faculties .,bar
85,show me a university that has more than 30 faculties and more than 50 teachers ?,bar
86,can you name the university that has more than 30 faculties and more than 50 teachers ?,bar
87,at what university can you find more than 30 faculties and more than 50 teachers ?,bar
88,tell me the name of the university with more than 30 faculties and more than 50 teachers .,bar
89,"of the many universities out there , which one has more than 30 faculties and more than 50 teachers ?",bar
90,can you find out the university with more than 30 faculties and more than 50 teachers ?,bar
91,search for a university has more than 50 teachers and 30 faculties .,bar
92,tell me a university with more than 30 faculties and 50 professors ?,bar
93,what is the mean population of ashley in 2000 ?,bar
94,tell me what the mean population of ashley was in 2000 .,bar
95,please tell me the average ashley populace in 2000,bar
96,"in 2000 , what is the mean population of ashley ?",bar
97,tell me the average amount of people in ashley for the year 2000 .,bar
98,what was ashley 's average population in the year 2000 ?,bar
99,"in the year 2000 , what was the average amount of citizens in ashley ?",bar
100,tell me the mean population of ashley in 2000 .,bar
101,"i would like to know , for the year 2000 , the mean population for the area of ashley .",bar
102,what is the average population of ashley in 2000 ?,bar
103,can you tell me what is the average population of ashley in 2000 ?,bar
104,give me the average population rating for ashley in the year 2000 .,bar
105,retrieve the mean population in 2000 for ashley,bar
106,retrieve the mean population of ashley in 2000 for me,bar
107,how many universities are located in new york ?,bar
108,what is the number of universities found in new york ?,bar
109,what is the number of universities that are in the state of new york ?,bar
110,how many universities does new york have ?,bar
111,what are the number of universities in the state of new york ?,bar
112,number of universities located in new york .,bar
113,what number of universities are based in new york ?,bar
114,i 'd like to know how many universities are in new york .,bar
115,can you tell me how many universities are located in new york ?,bar
116,please give me the number of universities that are based in the state of new york .,bar
117,find out the number of universities from new york .,bar
118,give me the amount of universities that are located in new york .,bar
119,"within the state of new york , there are how many universities ?",bar
120,new york has how many universities located in it ?,bar
121,new york has how many universities in it ?,bar
122,identify which university has the most teachers .,bar
123,can you tell me which university has the most teachers ?,bar
124,can you show me which university has the highest number of teachers ?,bar
125,tell me which university has the most teachers,bar
126,which university has the largest number of teachers ?,bar
127,tell me the university that has the highest number of teachers .,bar
128,what university has the most teachers ?,bar
129,what is the name of the university with the most teachers ?,bar
130,please state the university which contains the most teachers .,bar
131,"of all the universities , name the one who has the largest amount of teachers .",bar
132,which university has the highest number of teachers ?,bar
133,provide the name of the university that has the highest number of teachers on staff .,bar
134,tell me which university reports having the greatest number of educators .,bar
135,what school boasts the largest number of teachers ?,bar
136,identify which university has the most faculties and is located in london .,bar
137,find the university in london with the most faculties .,bar
138,which university located in london has the most faculties ?,bar
139,show me which university has the most faculties and is located in london .,bar
140,which university in london has the most faculties ?,bar
141,which london university has the highest number of faculties ?,bar
142,of all the universities in london find the one that has the most faculties,bar
143,what is the name of the university in london with the most faculties ?,bar
144,"from all of the universities in london , list the one who has the most faculties .",bar
145,provide the name of the university that is in london and also has the most faculties .,bar
146,tell me the universities in london that have the most faculties .,bar
147,research which university has the most faculties and is located in london .,bar
148,what is the university in london with more faculties ?,bar
149,rank the county by population in 2000 .,point
150,please rank the county by population in year 2000 .,point
151,make a list of counties in 2000 by population .,point
152,what is the rank for this county on the basis of its population in 2000 ?,point
153,show an ordered list with the county population in 2000 .,point
154,can you rank the country by population in 2000 ?,point
155,for the statistics in 2000 determine the countries rank by population,point
156,sort the country by population in 2000 .,point
157,please rank counties by population in 2000,point
158,classify the counties by population in 2000 .,point
159,can you show me counties ranked by population from the year 2000 ?,point
160,list the counties by population totals for the year 2000 from largest to smallest .,point
161,please rank for me the county by population for the year 2000 ?,point
162,2000 county population by rank,point
163,classify the 2000 population ranking of the county .,point
164,order the universities according to the number of faculties and teachers .,bar
165,sort the universities by number of faculties and teachers .,bar
166,list the universities by the number of faculties and teachers .,bar
167,organize the list of universities by their number of faculty members and teachers,bar
168,can you put the universities in order according to the number of faculties and teachers ?,bar
169,can you sort the universities according to the number of faculties and teachers ?,bar
170,give a list of universities ordered by the number of teachers and faculties,bar
171,list the universities in order according to the number of faculties and teachers they have .,bar
172,"going by the number of faculties and teachers , place the universities in order .",bar
173,please list the universities in order based on the number of faculties and teachers .,bar
174,show universities based on the number of teachers and faculties .,bar
175,"starting with the highest number of teachers and faculty , list the universities in decreasing order .",bar
176,sort the universities by teachers and faculties numbers,bar
177,list the universities by their faculty and teacher tally .,bar
178,using the number of faculties and teachers place the universities in the appropriate order .,bar
179,to the number of faculties and teacher put the universities in order .,bar
180,order the universities in new york based on the number of teachers .,bar
181,arrange the new york universities by amount of teachers .,bar
182,rank the universities in new york according to the number of teachers they have .,bar
183,arrange the new york universities according to their amount of teachers,bar
184,please list universities located in new york by the number of teachers each has .,bar
185,can you sort the universities in new york based on the number of teachers ?,bar
186,list new york universities in order of how many professors are on teaching staff .,bar
187,rank new york universities by how many teachers are employed .,bar
188,list the universities in new york in order of teacher population .,bar
189,what is the order of new york universities based on the number of teachers ?,bar
190,"based on highest number of teachers first , put the new york universities in order .",bar
191,find the number of teachers at new york universities and create a list based on those numbers .,bar
192,"using the number of teachers within the universities in new york as your basis , please order them .",bar
193,what is the population range in ashley in 2000 ?,bar
194,show me the population range in ashley in 2000 .,bar
195,show the range of population in ashley in 2000 .,bar
196,in the year 2000 what was the range in population for ashley ?,bar
197,show the population range for ashley in 2000 .,bar
198,show me the population range of ashley in 2000 .,bar
199,"for the year 2000 , give ashley 's population range",bar
200,define the range of population in ashley in the year 2000 ?,bar
201,in the year 2000 show the population range in ashley ?,bar
202,tell me what the population range is in ashley in the year 2000 .,bar
203,in ashley in 2000 provide the population range .,bar
204,can you tell me the range of population for ashley in the year 2000 ?,bar
205,can you tell me the population range in ashley in 2020 ?,bar
206,"in the year 2000 , what was the population in ashley ?",bar
207,what locations do the universities cover ?,bar
208,please tell me what locations the universities cover .,bar
209,the universities cover which locations ?,bar
210,show me the locations that the universities cover .,bar
211,what are the various locations that the university covers /,bar
212,tell me all the locations the universities cover ?,bar
213,please list the locations that the universities cover .,bar
214,can you tell the locations the universities cover ?,bar
215,can you tell me what location do the universities cover ?,bar
216,can you tell me what locations do the universities cover ?,bar
217,can you indicate the location coverage of the universities ?,bar
218,show me the locations covered by the universities .,bar
219,the universities are to cover what area ?,bar
220,what locations are covered by the universities ?,bar
221,can you tell me what areas are covered by the universities ?,bar
222,how are the number of teachers distributed among the universities in new york ?,bar
223,what is the distribution number of teachers among new york universities ?,bar
224,show the distribution numbers of teachers in universities in new york .,bar
225,can you tell me how the number of teachers are distributed among the new york 's universities ?,bar
226,"in new york , what are the numbers of teachers distributed in the universities ?",bar
227,how are the amount of teachers dispersed among new york universities ?,bar
228,what is the teacher number distribution among the new york universities ?,bar
229,what is the distribution of teachers among all the universities in new york ?,bar
230,"in new york , what is the number of teachers distributed across the universities ?",bar
231,what is the teacher distribution of new york universities ?,bar
232,what are the number of teachers distributed among the universities in the state of new york ?,bar
233,"across the universities in new york , can you tell me the amount of teachers distributed among them ?",bar
234,tell me what is the number of teachers distributed in the universities in new york ?,bar
235,how are teachers distributed in new york universities ?,bar
236,show me the number of teachers that have been distributed among the universities in new york .,bar
237,can you tell me the amount of teachers spreaded out among new york universities ?,bar
238,how are the different types of universities scattered in various locations ?,point
239,tell me the way different types of universities are scattered in several locations .,point
240,how are the various kinds of universities dispersed in different places ?,point
241,in what way is the kinds of universities dispersed in many different locations ?,point
242,how are different kinds of universities spread across various locations ?,point
243,i want to know how the different types of universities are scattered in various locations .,point
244,how are the various universities spread across the different locations ?,point
245,tell me how various universities are spreaded out in different locations ?,point
246,"based on location , how are different types of universities arranged ?",point
247,show me the different types of universites that are scrattered throughout various locations .,point
248,what are the various locations that the different types of universities are scattered in ?,point
249,can you show where the different types of universities are scattered in various locations ?,point
250,what are the different types of universities scattered throughout various locations ?,point
251,what kinds of universities are in the different locations ?,point
252,what are the different types of universities in various locations ?,point
253,what are the different types on universities in these given locations ?,point
254,explain how the assorted characteristics of universities determines how they are spread in different areas .,point
255,what is the distribution of public and private universities throughout the country ?,point
256,illustrate the distribution of the population of ashley across the five years .,bar
257,can you illustrate how the population of ashley are distributed across the five years .,bar
258,show the distribution of the population of ashley across a five year span .,bar
259,show the distribution of the population in ashley across five years,bar
260,show me how the population of ashley was distributed during the last five years .,bar
261,explain how the population of ashley is distributed over five years .,bar
262,show me a chart of the population distribution of ashley over the last five years .,bar
263,how can the population of ashley be illustrated to show distribution across five years ?,bar
264,show the distribution of ashley populations over a 5 year period .,bar
265,demonstrate the dispersion of the population of ashley from the past five years .,bar
266,show me the distribution of the population over 5 years of ashley ?,bar
267,we want the distribution of the population of ashley for five years .,bar
268,draw the population distribution of ashleys across the five years .,bar
269,what is the distribution of the population of ashley in the past five years ?,bar
270,show what the distribution of the population of ashley looks like for five years,bar
271,draw the dispersal of ashley 's population over a five year period .,bar
272,which state has an abnormal population ?,bar
273,show me a state that has an abnormal population .,bar
274,can you tell me the name of the state which has an abnormal population ?,bar
275,does any state have an abnormal population ?,bar
276,can you tell me which state has an abnormal population ?,bar
277,which state is an outlier in regards to population ?,bar
278,please display the state with the abnormal population .,bar
279,what state has an abnormal population ?,bar
280,show what state has abnormal population,bar
281,which state has a population that differs from the norm ?,bar
282,can you indicate what is the state with an offbeat population ?,bar
283,"there 's one state with an abnormal population , which is it ?",bar
284,"based on population , which state is abnormal ?",bar
285,does any state have any abnormal population ? which ones ?,bar
286,determine which university has an anomalous number of teachers .,bar
287,which university has an abnormal amount of teachers ?,bar
288,show which university has an anomalous number of teachers .,bar
289,what university has an abnormal amount of teachers ?,bar
290,can you tell me which university has an anomalous amount of teachers ?,bar
291,which university has an anoalous number of teachers ?,bar
292,find out the university which has an anomalous number of teachers .,bar
293,can you tell me which university has an anomalous number of teachers .,bar
294,what university has an abnormal number of teachers ?,bar
295,which university is an outlier in regards to number of teachers ?,bar
296,decide what university has anomalous number of teachers .,bar
297,show me the university that has an anomalous number of teachers .,bar
298,do any of the universities have an anomalous number of teachers ?,bar
299,can you show me university which has an unusual number of teachers,bar
300,show me the university whose number of teachers is anomalous .,bar
301,find out the anomolous number of teachers in the university,bar
302,is the number of teachers in harvard university out of the normal range ?,bar
303,"at harvard university , does the total number of teachers fall into an average range .",bar
304,does harvard university have a number of teachers outside the normal range ?,bar
305,can you tell if the number of teachers in harvard university is out of the normal range ?,bar
306,does harvard university lay outside the normal range for teacher count ?,bar
307,does harvard university have a number of teachers in the normal range ?,bar
308,determine if the number of teachers is out of the normal range for harvard university .,bar
309,does harvard university have teacher outside of normal range ?,bar
310,would you say the number of harvard university teaches is out of the normal range ?,bar
311,what is the normal range for teachers at harvard university ?,bar
312,does the number of teachers at harvard university fall in the normal range ?,bar
313,does harvard have a typical faculty in regards to numbers ?,bar
314,is the instructional staff at harvard university abnormally large compared to others ?,bar
315,is the number of teachers at harvard normal or abnormal ?,bar
316,what is the relationship between the location and the number of teachers ?,bar
317,explain to me the relationship between the location and the number of teachers,bar
318,please show me the relationship between the location and the number of teachers .,bar
319,is there a connection between the location and how many teachers there are ?,bar
320,show me the relationship between the location and number of teachers .,bar
321,is there any relationship between the number of teachers and their location ?,bar
322,can you please tell me the relationship between the location and the number of teachers ?,bar
323,is there a relationship between the number of teachers and the university 's location ?,bar
324,find the connection between the location and the amount of teachers .,bar
325,show me the relashinship between location and the number of teachers .,bar
326,please explain the connection between the location and the number of teachers .,bar
327,are the number of teachers and the locations related ?,bar
328,can you tell me if there is a relationship between the number of teachers and their location ?,bar
329,can you tell me if the location and the number of teachers are connected ?,bar
330,is there a correlation between the number of teachers and their location ?,bar
331,show me what the relationship is between that location and the number of teachers .,bar
332,is there a relationship between the location and number of teachers ?,bar
333,"if harvard university was located in new york , would the number of teachers in harvard be considered outliers in relation to all the universities in new york ?",bar
334,"would harvard teachers be classed as outliers in regards to universities in new york , if harvard were located in new york ?",bar
335,"would harvard teachers be considered outliers to all new york universities , if harvard university was located in new york ?",bar
336,"would the amount of teachers at harvard be considered outliers in respect to all other universities in new york , if harvard was in new york .",bar
337,would the number of teachers in harvard be considered outliers relative to universities in new york if harvard university was in new york ?,bar
338,would teachers in harvard be considered outliers if the university was in new york ?,bar
339,would the number of teachers in harvard be considered outliers if harvard university was located in new york in relation to every other university in new york ?,bar
340,"can we say that if harvard university was located in new york , the number of teachers would be considered outliers in relation to all the universities in new york ?",bar
341,"in relation to all the other universities in new york , would the number of teachers in harvard be considered outliers ?",bar
342,let us say harvard university is in new york ; what number of all the teachers at harvard be considered outliers compared to the other universities in new york ?,bar
343,"for example , if harvard university was located in new york , would the amount of teachers at harvard be different to the other universities in new york ?",bar
344,"if you imagine harvard university was in new york , do you think the number of harvard professors would be different than those of the other universities in new york ?",bar
345,"if new york was the state where harvard university was located , would the number of teachers in harvard be outliers , compared to all the universities in new york ?",bar
346,could we expect the quantity of teachers at harvard university to be an aberration compared to other universities in new york if we were to assume harvard was in new york ?,bar
347,"what if harvard university was in new york ,would the percent of teachers in harvard be considered outliers in relation to all the universities in the state of new york .",bar
348,what is the ranking of iceland in the world happiness index ?,bar
349,where does iceland rank on the world happiness index ?,bar
350,according to the world happiness index where is iceland ranked ?,bar
351,"looking at the happiness index , where does the country of iceland rate ?",bar
352,where is iceland ranked in the world happiness index ?,bar
353,where does iceland fall on the rankings in the world happiness index,bar
354,in the world happiness index where does iceland stand ?,bar
355,"in the world happiness index , how does iceland rank ?",bar
356,"in the world happiness index , where does iceland rank ?",bar
357,tell me where iceland ranks in the world happiness index .,bar
358,where does iceland fall in the world happiness index ?,bar
359,how does iceland rank in the world happiness report ?,bar
360,where on the world happiness index does iceland rank ?,bar
361,where is iceland located on the world happiness index ?,bar
362,show me the ranking of iceland in the world happiness index,bar
363,how many dimensions describe the happiness score ?,bar
364,"if we consider the happiness score , how many dimensions describe it ?",bar
365,the happiness score is defined by how many dimensions ?,bar
366,can you tell me the number of dimensions in the happiness score ?,bar
367,the happiness score is made of how many dimensions ?,bar
368,what is the number of dimensions in the happiness score ?,bar
369,how many dimensions are there to describe the happiness score ?,bar
370,tell me which dimensions make up the happiness score ?,bar
371,what is the number of dimensions to describe the happiness score ?,bar
372,the happiness score has how many dimensions ?,bar
373,what is the number of dimensions used by the happiness score ?,bar
374,"there are a number of dimensions in the happiness score , how many are there ?",bar
375,what are the number of dimensions that describe the happiness score ?,bar
376,tell me the number of variables which defines the happiness score .,bar
377,show me the numbers of dimensions that describe the happiness score .,bar
378,"concerning the happiness score , how many dimentions are there ?",bar
379,how many students have had their grades recorded ?,point
380,please tell us the number of students with their grades recorded ?,point
381,what is the number of students that have their grades recorded ?,point
382,"out of all the stuents , how many have had their grades recorded ?",point
383,what is the amount of students that have their grades recorded ?,point
384,tell me the amount of students that have had their grades recorded .,point
385,what is the number of students that have had their grades recorded ?,point
386,display to me how many students have had their grades recorded .,point
387,what is the number of students that have grades recorded ?,point
388,what is the amount of students with recorded grades ?,point
389,what number of students have had their grades recorded ?,point
390,retrieve the number of students with a recorded grade .,point
391,show me the students who have had their grades recorded .,point
392,how many student grades are recorded ?,point
393,indicate kibo mcgee 's midterm score .,bar
394,what was the midterm score for kibo mcgee ?,bar
395,what is kibo mcgrees midterm score ?,bar
396,what is the midterm score for kibo mcgee ?,bar
397,what is kibo mcgee 's midterm score,bar
398,what was kibo mcgee 's midterm score ?,bar
399,what is the score for kibo mcgee 's midterm ?,bar
400,can you tell me kibo mcgee 's midterm score ?,bar
401,what is the midterm score of kibo mcgee ?,bar
402,show me kibo mcgee 's midterm score .,bar
403,can you tell us what kibo mcgee 's midterm score is ?,bar
404,can you show me kibo mcgee 's midterm score ?,bar
405,show me the midterm score kibo mcgee 's .,bar
406,how many countries have a happiness score greater than 7 ?,bar
407,can you tell me how many countries have a happiness score greater than 7 .,bar
408,what amount of countries contain a score above 7 for happiness ?,bar
409,tell me the number of countries whose happiness score is greater than 7 .,bar
410,what number of countries scored over 7 for happiness ?,bar
411,how many of the countries scored higher than 7 for happiness ?,bar
412,"taking a look at all of the different happiness scores throughout the countries , how many of them hold a score above 7 ?",bar
413,do you know the number of countries that have a happiness score of 7 or higher ?,bar
414,"for the happiness score of higher than 7 , how many countries fit the bill ?",bar
415,list all of the countries that have a happiness score of more than 7 ?,bar
416,find the total number of countries than score higher than 7 on the happiness scale .,bar
417,which countries have a happiness score above 7 ?,bar
418,what 's the total number of countries with a happiness rating higher than 7 ?,bar
419,which countries have a score above 7 for happiness ?,bar
420,"by happiness score rankings , how many counrtries rate higher than 7 ?",bar
421,i would like to know the name of countries with a happiness score of more than seven .,bar
422,which continent has the most countries in the top 10 of the happiness index ?,bar
423,"of all the continents , which has the greatest number of countries in the top 10 of the happiness index ?",bar
424,can you tell me which continent has the highest number of countries in the top 10 happiness index ?,bar
425,name the continent containing the most number of countries in the top 10 happiness index,bar
426,"in the happiness index , which continent has the most countries ranked in the top 10 ?",bar
427,which continent has more countries listed in the top 10 on the happiness index ?,bar
428,on the happiness index what continent has the most country 's in the top 10 ?,bar
429,show me the continent with the greatest number of countries ranked in the top 10 of the happiness index .,bar
430,show me the continent with the most countries in the top 10 happiness index .,bar
431,name the continent that contains the greatest number of countries that are top 10 on the happiness index ?,bar
432,show me the continent that has the most countries in the top 10 of happiness rating .,bar
433,how many students received an a ?,bar
434,could you tell me the number of students who 've received an a ?,bar
435,what number of students received an a ?,bar
436,can you tell me how many students received an a ?,bar
437,what is the number of students that received an a ?,bar
438,can you tell me the amount of students who got an a .,bar
439,what is the number of students who received an a,bar
440,can you tell me the number of students that scored an a ?,bar
441,tell me what the number of students who received an a is ?,bar
442,how many people in the class achieved an a ?,bar
443,"of all the students , how many received an a ?",bar
444,how many of your students earned an a ?,bar
445,how many students scored a 's ?,bar
446,tell me how many students received an a,bar
447,an a grade was received by how many students ?,bar
448,select all cw1 scores not less than 80% .,bar
449,show all the cw1 scores greater than or equal to 80% .,bar
450,choose all cw1 scores that are 80% and above .,bar
451,please choose all cw1 scores with 80% or more .,bar
452,choose all of the cw1 scores that are equal to or greater than 80 percent .,bar
453,provide all cw1 scores at 80% or greater .,bar
454,pick the cw1 scores that are not less than 80% .,bar
455,show me the cw1 scores that are 80% or more .,bar
456,show all the cw1 scores that are not less than 80% .,bar
457,choose all the cw1 scores which are greater than 80% .,bar
458,can you tell me all the cw1 scores that are greater than 80% .,bar
459,can you select all cw1 scores 80% and above .,bar
460,find all cw1 scores greater than 80%,bar
461,choose scores from the cw1 that have more than 80%,bar
462,is there any score less than 30% ?,bar
463,indicate if any scores were less than 30% .,bar
464,do any scores fall below 30 percent ?,bar
465,does a score below 30% exist ?,bar
466,are there scores below 30% ?,bar
467,are there any scores under 30% ?,bar
468,are there scores less than 30% ?,bar
469,please tell me if any scores are 30% or less .,bar
470,are there any scores below 30% ?,bar
471,was there any score that wasn 't greater than 30% ?,bar
472,are there are scores less than 30% ?,bar
473,can you tell me if there are an scores less than 30% ?,bar
474,were there any score less than 30% ?,bar
475,could you show me a score below 30% ?,bar
476,"of the scores , is there one less than 30%",bar
477,how many scores are lower than 30% ?,bar
478,what is the average value of all the countries in the happiness index ?,bar
479,"considering the happiness index , what is the average value of all countries combined ?",bar
480,"in the happiness index , can you tell me the average value of all the countries ?",bar
481,from the total of all the countries in the happiness index what is the average value ?,bar
482,can you tell me the average happiness index value for all countries ?,bar
483,what is the average value of the happiness index for all countries ?,bar
484,"out of all the countries in the happniess index , what is the average value ?",bar
485,what is the average of all the countries happiness index ?,bar
486,"when thinking of the happiness index , what is the average value of all countries ?",bar
487,could you tell me the average score of all the countries ranked in the happiness index ?,bar
488,"of all the countries in the haappiness index , what is the average value of all combined ?",bar
489,please show me the average score of the countries in the happiness index .,bar
490,"for all countries listed , what is the average value of their scores on the happiness index ?",bar
491,retrieve the average value of all countries in the happiness index .,bar
492,what is the countries average value for happiness index ?,bar
493,what is the mean value of the countries with happiness index scores ?,bar
494,what is the mean for all the countries in the happiness index ?,bar
495,which dimension of the happiness index has the maximum fluctuation ?,bar
496,can you tell me which dimension of the happiness index has the maximum fluctuation ?,bar
497,"considering the happiness index , please tell me the dimension that has maximum fluctuation .",bar
498,tell me the dimension that has the maximum fluctuation in the happiness index .,bar
499,what dimension of the happiness index has the maximum fluctuation ?,bar
500,what dimesion of the happiness index has the max fluctuation ?,bar
501,when it comes to the happiness index which dimension has the maximum fluctuation ?,bar
502,tell me the dimension that has the maximum movement on the happiness index .,bar
503,what was the happiness index dimension that varied the most ?,bar
504,tell me which dimension has the widest variation in the happiness index .,bar
505,what part of the happiness index contains the most variance ?,bar
506,what part of the happiness index has the biggest differences ?,bar
507,what part of the happiness index has the most change ?,bar
508,which subject has the highest average score ?,point
509,can you tell me which subject has the highest average score ?,point
510,show me the subject with the highest average score,point
511,tell me the subject with the highest average score .,point
512,what is the subject with the highest average score ?,point
513,what subject had the best average score ?,point
514,the highest average score belongs to which subject ?,point
515,in which subject do we see the highest average score ?,point
516,show me what subject has the highest average score,point
517,retrieve the subject that has the highest average score .,point
518,"of the subjects , which has the highest score by average ?",point
519,reference the subject with the greatest average score .,point
520,what one has the highest average score ?,point
521,what subject has the highest median score ?,point
522,the highest average score is achived in which subject ?,point
523,"of all the subjects , which has the highest score",point
524,the highest average score is in what subject ?,point
525,"out of all the subjects , whats the highest average score ?",point
526,which country has the highest health score ?,point
527,what country holds the highest health score ?,point
528,the highest health score is held by which counrty ?,point
529,what is the country with the highest health score ?,point
530,the highest health score belongs to which country ?,point
531,name the country with the greatest health score .,point
532,the highest health score is held by which country ?,point
533,show me which country has the highest health score .,point
534,the highest health score is awarded to which country ?,point
535,what country scored the highest in health ?,point
536,what country scored highest in health ?,point
537,the top health score belongs to what country ?,point
538,show me he country with the highest health score .,point
539,the health score is highest in which country ?,point
540,which country has the lowest trust score ?,point
541,identify the country with the lowest trust score .,point
542,the lowest trust score is held by which country ?,point
543,can you tell me which country has the lowest trust score ?,point
544,the lowest trust score is awarded to which country ?,point
545,what country holds the lowest trust score ?,point
546,the lowest trust score belongs to what country ?,point
547,name the country that scores the least on trust .,point
548,"of all the countries trust score , which country has the lowest ?",point
549,what country has the lowest trust score ?,point
550,identify the country with the bottom -most trust score .,point
551,"of all countries , which one has the lowest score in trust ?",point
552,show me the country with lowest trust score .,point
553,the trust score is lowest in which country ?,point
554,can you tell me which country 's trust score is the lowest ?,point
555,tell me the country with the lowest trust score,point
556,can you tell me what country has the lowest score ?,point
557,identify the student who received the highest total score .,bar
558,which student received the highest total score ?,bar
559,can you tell us which student got the highest total score ?,bar
560,"of all students , which received the highest total score ?",bar
561,tell me which student got the highest total score,bar
562,can you identify the student who received the highest total score ?,bar
563,find out which student achieved the highest total score .,bar
564,what student recieved the highest total score ?,bar
565,which student has the highest total score ?,bar
566,who is the student who got the highest total score ?,bar
567,which student has the score with the highest total ?,bar
568,what student was awarded the greatest total score ?,bar
569,the highest total score is held by which student ?,bar
570,find the highest scoring student .,bar
571,verify the student who scored the highest total .,bar
572,the total highest score was done by which student ?,bar
573,did anyone obtain the highest scores in both the midterm and final exams ?,point
574,did anyone get the best grade in the final exam as well as the midterm ?,point
575,did anyone achieve the highest score on the midterm as well as the final exam ?,point
576,"on the final exam and midterm , did anybody get the highest score ?",point
577,was any student able to achieve the top scores on both the midterm and the final exam ?,point
578,identify if anyone received the highest grades in both midterm and final exams .,point
579,is there anyone who obtained the highest scores in both the midterm and final exams ?,point
580,did any student get the highest midterm and final exam score ?,point
581,"was there a person who scored the highest in both the midterm , and final exam ?",point
582,could you tell me if there was a person who scored the highest in both the midterm and final exams ?,point
583,do you know if someone obtained the highest scores in the midterm as well as final exams ?,point
584,was any student able to obtain the highest score on both midterm and final exams ?,point
585,has someone received midterm and final exam top scores ?,point
586,can you tell me who obtained the highest scores in both the midterm and final exams ?,point
587,sort the countries according to the family score from highest to lowest .,point
588,organize the countries from highest to lowest by family score .,point
589,rank countries high to low by their family score .,point
590,"from highest to lowest , organize the counties based on family score .",point
591,"in descending order , sort the countries by family score .",point
592,arrange the countries from highest to lowest according to the family score .,point
593,filter the list of countries in descending order based on the family score .,point
594,rank these countries from highest to lowest family score,point
